GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,lat,long,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided,GEOID,STATE,COUNTY,TRACT,BLOCK
1007291.0,734,Alpha Ridge SLF,MD,2350 Marriottsville Road,Marriottsville,Howard,21104.0,39.305776,-76.898803,Public,"Howard County, MD",1980.0,2053.0,Open,"3,039,953",2021.0,Yes,0.309,0.029,804-0,Operational,Project #1,9/21/12,,Electricity,Reciprocating Engine,,0.58,1.059,0.28,0.0294,0.0028,240276030013008,24,027,603001,3008
,735,Annapolis SLF,MD,Defense Highway,Annapolis,Anne Arundel,21401.0,38.992,-76.573,Public,,1960.0,1993.0,Closed,"858,000",,No,,,805-0,Low Potential,,,,Unknown,Unknown,,,,,,,240037516002006,24,003,751600,2006
,736,Appeal SLF,MD,,Lusby,Calvert,20657.0,38.381112,-76.438334,Public,"Calvert County, MD",1993.0,2014.0,Closed,"364,268",2009.0,Yes,,,806-0,Low Potential,,,,Unknown,Unknown,,,,,,,240098610033000,24,009,861003,3000
1000331.0,10120,Beulah Municipal Landfill,MD,6815 East New Market Ellwood Road,Hurlock,Dorchester,21643.0,38.6735,-75.8994,Public,"Dorchester County, MD",1996.0,2024.0,Open,"1,169,463",2016.0,Yes,0.22,0.22,180835-0,Candidate,,,,Unknown,Unknown,,,,,,,240199702002028,24,019,970200,2028
,740,Bowley's Lane LF,MD,Bowley's Lane,Baltimore,Baltimore city,21206.0,39.3138,-76.5444,Unknown,,1955.0,1985.0,Closed,"490,000",,Yes,,,810-0,Low Potential,,,,Unknown,Unknown,,,,,,,245102604022006,24,510,260402,2006
1002655.0,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774.0,38.851,-76.789,Public,"Prince George's County, MD",1968.0,2028.0,Open,"19,027,722",2021.0,Yes,2.74,0.99,166975-0,Shutdown,Project #2,4/20/87,8/15/18,Electricity,Reciprocating Engine,,2.55,2.55,1.33,0.0,0.0,240338006071007,24,033,800607,1007
1002655.0,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774.0,38.851,-76.789,Public,"Prince George's County, MD",1968.0,2028.0,Open,"19,027,722",2021.0,Yes,2.74,0.99,166975-1,Operational,"Project #2, Expansion #1",12/1/03,,Electricity,Reciprocating Engine,,3.5,4.2,1.75,0.1771,0.017,240338006071007,24,033,800607,1007
1002655.0,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774.0,38.851,-76.789,Public,"Prince George's County, MD",1968.0,2028.0,Open,"19,027,722",2021.0,Yes,2.74,0.99,811-0,Shutdown,Project #1,4/20/87,8/15/18,Direct,Boiler,,,,1.332,,,240338006071007,24,033,800607,1007
1004812.0,742,Cecil County Central Landfill,MD,758 East Old Philadelphia Road,Elkton,Cecil,21921.0,39.5969,-75.9136,Public,"Cecil County, MD",1978.0,2026.0,Open,"3,606,445",2021.0,Yes,0.959,0.959,812-0,Candidate,,,,Unknown,Unknown,,,,,,,240150309033011,24,015,030903,3011
1005295.0,738,Central SLF,MD,7091 Central Site Lane,Newark,Worcester,21841.0,38.2159,-75.3186,Public,"Worcester County, MD",1990.0,2038.0,Open,"2,405,870",2021.0,Shutdown,0.0,0.0,808-0,Shutdown,Project #1,6/1/08,6/30/13,Electricity,Reciprocating Engine,,2.0,2.0,1.0,,,240479512001053,24,047,951200,1053
1005107.0,744,Charles County Landfill #2,MD,12305 Billingsley Road East,Waldorf,Charles,20602.0,38.572,-76.886,Public,"Charles County, MD",1994.0,2032.0,Open,"2,063,102",2021.0,No,,,814-0,Candidate,,,,Unknown,Unknown,,,,,,,240178509041038,24,017,850904,1038
1004330.0,745,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,6257 Days Cove Road,White Marsh,Baltimore,21162.0,39.3948,-76.3964,Public,"Baltimore County, MD",1983.0,2027.0,Open,"7,971,798",2021.0,Yes,1.657,0.756,815-0,Shutdown,Project #1,9/1/06,12/31/18,Electricity,Reciprocating Engine,,0.73,3.0,0.58,0.0,0.0,240054113022003,24,005,411302,2003
1004330.0,745,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,6257 Days Cove Road,White Marsh,Baltimore,21162.0,39.3948,-76.3964,Public,"Baltimore County, MD",1983.0,2027.0,Open,"7,971,798",2021.0,Yes,1.657,0.756,815-1,Operational,"Project #1, Re-Start",1/1/20,,Electricity,Reciprocating Engine,,3.2,4.0,2.0,0.1619,0.0155,240054113022003,24,005,411302,2003
,746,Fort Detrick SLF,MD,,Fort Detrick,Frederick,21702.0,39.43889,-77.422223,Public,United States Army,,,Unknown,"79,172",2009.0,No,,,816-0,Unknown,,,,Unknown,Unknown,,,,,,,240217512011014,24,021,751201,1014
,747,Fort Meade SLF,MD,,Fort Meade,Anne Arundel,,39.125,-76.77,Public,Landfill Owner of Fort Meade SLF,1976.0,1995.0,Closed,"1,074,376",,No,,,817-0,Low Potential,,,,Unknown,Unknown,,,,,,,240037401062024,24,003,740106,2024
1004663.0,10740,Forty West SLF,MD,12630 Earth Care Road,Hagerstown,Washington,21740.0,39.6567,-77.82,Public,"Washington County, MD",2000.0,2033.0,Open,"2,293,663",2021.0,No,,,180926-0,Candidate,,,,Unknown,Unknown,,,,,,,240430117003016,24,043,011700,3016
1003378.0,10720,Garrett County SWD and RF,MD,3118 Oakland Sang Run Road,Oakland,Garrett,21550.0,39.45075,-79.40754,Public,"Garrett County, MD",1974.0,2037.0,Open,"1,360,889",2021.0,No,,,180925-0,Candidate,,,,Unknown,Unknown,,,,,,,240230006011003,24,023,000601,1003
1002004.0,20792,Glen Burnie Landfill,MD,100 Dover Road,Glen Burnie,Anne Arundel,21060.0,39.18718,-76.6,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1953.0,1982.0,Closed,"3,844,718",1982.0,No,,,201023-0,Low Potential,,,,Unknown,Unknown,,,,,,,240037511022010,24,003,751102,2010
1003432.0,748,Gude LF,MD,600 E. Gude Drive,Rockville,Montgomery,20850.0,39.107,-77.14,Public,"Montgomery County, MD",1965.0,1982.0,Closed,"4,800,000",,Yes,1.03,,180877-0,Shutdown,Project #2,7/13/09,6/1/17,Electricity,Reciprocating Engine,,0.8,0.848,0.5,,,240317012111000,24,031,701211,1000
1003432.0,748,Gude LF,MD,600 E. Gude Drive,Rockville,Montgomery,20850.0,39.107,-77.14,Public,"Montgomery County, MD",1965.0,1982.0,Closed,"4,800,000",,Yes,1.03,,818-0,Shutdown,Project #1,1/1/85,3/25/06,Electricity,Reciprocating Engine,,2.0,3.0,,,,240317012111000,24,031,701211,1000
1002292.0,750,Harford Waste Disposal Center,MD,3241 Scarboro Road,Street,Harford,21154.0,39.63963,-76.30235,Public,"Harford County, MD",1960.0,2125.0,Open,"2,715,057",2021.0,Yes,0.133,0.133,820-0,Candidate,,,,Unknown,Unknown,,,,,,,240253052003000,24,025,305200,3000
,2270,Honey-Go-Run Reclamation,MD,10710 Philadelphia Road,Perry Hall,Baltimore,21128.0,39.39383,-76.42418,Private,"Republic Services, Inc.",,,Open,"2,528,416",2009.0,No,,,180360-0,Candidate,,,,Unknown,Unknown,,,,,,,240054113021018,24,005,411302,1018
,752,Hoods Mill Road SLF,MD,7901 Kabik Court,Woodbine,Carroll,21797.0,39.357,-77.024,Public,"Carroll County, MD",1981.0,1994.0,Closed,"480,000",,No,,,822-0,Low Potential,,,,Unknown,Unknown,,,,,,,240135142013014,24,013,514201,3014
1005718.0,753,Midshore I - Regional Solid Waste Facility,MD,7341 Barkers Landing Road,Easton,Talbot,21601.0,38.74714,-76.01961,Public,Maryland Environmental Service,1965.0,2010.0,Closed,"2,032,829",2010.0,Yes,0.374,0.374,201728-0,Shutdown,Project #1,1/1/17,7/1/20,Electricity,Reciprocating Engine,,,1.0,,,,240419605021018,24,041,960502,1018
1005718.0,753,Midshore I - Regional Solid Waste Facility,MD,7341 Barkers Landing Road,Easton,Talbot,21601.0,38.74714,-76.01961,Public,Maryland Environmental Service,1965.0,2010.0,Closed,"2,032,829",2010.0,Yes,0.374,0.374,823-0,Operational,Project #2,9/16/22,,Electricity,Stirling Cycle Engine,,0.006,0.006,,0.0003,0.0,240419605021018,24,041,960502,1018
1011317.0,11902,Midshore II - Regional Solid Waste Facility,MD,12236 River Road,Ridgely,Caroline,21660.0,38.948,-75.8593,Public,Maryland Environmental Service,2010.0,2046.0,Open,"1,163,609",2021.0,No,,,181060-0,Future Potential,,,,Unknown,Unknown,,,,,,,240119552011042,24,011,955201,1042
1002002.0,754,Millersville SLF,MD,389 Burns Crossing Road,Severn,Anne Arundel,21144.0,39.0945,-76.6656,Public,"Anne Arundel County Dept. of Public Works, Bureau of Waste Mmgt. Services, MD",1975.0,2053.0,Open,"8,748,707",2021.0,Yes,1.532,0.015,824-0,Operational,Project #1,6/27/12,,Electricity,Reciprocating Engine,,2.8,3.2,1.52,0.1417,0.0136,240037410001002,24,003,741000,1002
1007611.0,755,Mountainview SLF,MD,13300 New George's Creek Road SW,Frostburg,Allegany,21532.0,39.60212,-78.92121,Private,Noble Environmental,1991.0,2024.0,Open,"3,045,666",2021.0,Yes,0.448,0.448,825-0,Candidate,,,,Unknown,Unknown,,,,,,,240010019002000,24,001,001900,2000
1005908.0,20837,New Cut Landfill,MD,4361 New Cut Road,Ellicott City,Howard,21043.0,39.246917,-76.796769,Public,"Howard County, MD",1947.0,1980.0,Closed,,,Yes,0.12,0.12,201102-0,Low Potential,,,,Unknown,Unknown,,,,,,,240276027002006,24,027,602700,2006
1007029.0,756,Newland Park SLF,MD,6948 Brick Kiln Road,Salisbury,Wicomico,21801.0,38.385,-75.6336,Public,"Wicomico County, MD",1960.0,2037.0,Open,"4,051,277",2021.0,Yes,0.773,0.073,826-0,Operational,Project #1,4/23/07,,Electricity,Reciprocating Engine,,1.32,3.15,0.7,0.0668,0.0064,240450103001029,24,045,010300,1029
,757,Nicholson SLF,MD,,,Kent,,38.382779,-75.631945,Public,,1964.0,1992.0,Closed,"610,000",,No,,,827-0,Low Potential,,,,Unknown,Unknown,,,,,,,240450103001027,24,045,010300,1027
1004562.0,20858,Norris Farms Landfill,MD,101 Norris Lane,Baltimore,Baltimore,21222.0,39.288,-76.48,Private,"Republic Services, Inc.",1968.0,1986.0,Closed,"8,003,870",1986.0,Yes,0.589,0.589,201101-0,Low Potential,,,,Unknown,Unknown,,,,,,,240054524001002,24,005,452400,1002
1011391.0,758,Northern SLF,MD,1400 Baltimore Boulevard,Westminster,Carroll,21157.0,39.554,-76.94,Public,"Carroll County, MD",1988.0,2043.0,Open,"528,676",2009.0,Yes,,,828-0,Future Potential,,,,Unknown,Unknown,,,,,,,240135041003004,24,013,504100,3004
