GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,lat,long,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided,GEOID,STATE,COUNTY,TRACT,BLOCK,NAME,variable,estimate,moe,geometry
1007291,734,Alpha Ridge SLF,MD,2350 Marriottsville Road,Marriottsville,Howard,21104,39.305776,-76.898803,Public,"Howard County, MD",1980,2053,Open,"3,039,953",2021,Yes,0.309,0.029,804-0,Operational,Project #1,9/21/12,NA,Electricity,Reciprocating Engine,NA,0.58,1.059,0.28,0.0294,0.0028,240276030013008,24,27,603001,3008,NA,NA,NA,NA,list()
NA,735,Annapolis SLF,MD,Defense Highway,Annapolis,Anne Arundel,21401,38.992,-76.573,Public,NA,1960,1993,Closed,"858,000",NA,No,NA,NA,805-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240037516002006,24,3,751600,2006,NA,NA,NA,NA,list()
NA,736,Appeal SLF,MD,NA,Lusby,Calvert,20657,38.381112,-76.438334,Public,"Calvert County, MD",1993,2014,Closed,"364,268",2009,Yes,NA,NA,806-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240098610033000,24,9,861003,3000,NA,NA,NA,NA,list()
1000331,10120,Beulah Municipal Landfill,MD,6815 East New Market Ellwood Road,Hurlock,Dorchester,21643,38.6735,-75.8994,Public,"Dorchester County, MD",1996,2024,Open,"1,169,463",2016,Yes,0.22,0.22,180835-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240199702002028,24,19,970200,2028,NA,NA,NA,NA,list()
NA,740,Bowley's Lane LF,MD,Bowley's Lane,Baltimore,Baltimore city,21206,39.3138,-76.5444,Unknown,NA,1955,1985,Closed,"490,000",NA,Yes,NA,NA,810-0,Low Potential,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,245102604022006,24,510,260402,2006,NA,NA,NA,NA,list()
1002655,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774,38.851,-76.789,Public,"Prince George's County, MD",1968,2028,Open,"19,027,722",2021,Yes,2.74,0.99,166975-0,Shutdown,Project #2,4/20/87,8/15/18,Electricity,Reciprocating Engine,NA,2.55,2.55,1.33,0,0,240338006071007,24,33,800607,1007,NA,NA,NA,NA,list()
1002655,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774,38.851,-76.789,Public,"Prince George's County, MD",1968,2028,Open,"19,027,722",2021,Yes,2.74,0.99,166975-1,Operational,"Project #2, Expansion #1",12/1/03,NA,Electricity,Reciprocating Engine,NA,3.5,4.2,1.75,0.1771,0.017,240338006071007,24,33,800607,1007,NA,NA,NA,NA,list()
1002655,741,Brown Station Road Sanitary Landfill,MD,3500 Brown Station Road,Upper Marlboro,Prince George's,20774,38.851,-76.789,Public,"Prince George's County, MD",1968,2028,Open,"19,027,722",2021,Yes,2.74,0.99,811-0,Shutdown,Project #1,4/20/87,8/15/18,Direct,Boiler,NA,NA,NA,1.332,NA,NA,240338006071007,24,33,800607,1007,NA,NA,NA,NA,list()
1004812,742,Cecil County Central Landfill,MD,758 East Old Philadelphia Road,Elkton,Cecil,21921,39.5969,-75.9136,Public,"Cecil County, MD",1978,2026,Open,"3,606,445",2021,Yes,0.959,0.959,812-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240150309033011,24,15,30903,3011,NA,NA,NA,NA,list()
1005295,738,Central SLF,MD,7091 Central Site Lane,Newark,Worcester,21841,38.2159,-75.3186,Public,"Worcester County, MD",1990,2038,Open,"2,405,870",2021,Shutdown,0,0,808-0,Shutdown,Project #1,6/1/08,6/30/13,Electricity,Reciprocating Engine,NA,2,2,1,NA,NA,240479512001053,24,47,951200,1053,NA,NA,NA,NA,list()
1005107,744,Charles County Landfill #2,MD,12305 Billingsley Road East,Waldorf,Charles,20602,38.572,-76.886,Public,"Charles County, MD",1994,2032,Open,"2,063,102",2021,No,NA,NA,814-0,Candidate,NA,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,240178509041038,24,17,850904,1038,NA,NA,NA,NA,list()
1004330,745,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,6257 Days Cove Road,White Marsh,Baltimore,21162,39.3948,-76.3964,Public,"Baltimore County, MD",1983,2027,Open,"7,971,798",2021,Yes,1.657,0.756,815-0,Shutdown,Project #1,9/1/06,12/31/18,Electricity,Reciprocating Engine,NA,0.73,3,0.58,0,0,240054113022003,24,5,411302,2003,NA,NA,NA,NA,list()
1004330,745,Eastern Sanitary Landfill Solid Waste Management Facility (ESL),MD,6257 Days Cove Road,White Marsh,Baltimore,21162,39.3948,-76.3964,Public,"Baltimore County, MD",1983,2027,Open,"7,971,798",2021,Yes,1.657,0.756,815-1,Operational,"Project #1, Re-Start",1/1/20,NA,Electricity,Reciprocating Engine,NA,3.2,4,2,0.1619,0.0155,240054113022003,24,5,411302,2003,NA,NA,NA,NA,list()
